"DatesR","P","T","E","Qls","Qmm"
1988-07-12,3.3,18.6,4,314,0.07536
1988-07-13,0,18.8,4,314,0.07536
1988-07-14,0,19,4.1,342,0.08208
1988-07-15,0,23.4,4.8,314,0.07536
1988-07-16,1.1,23.5,4.8,286,0.06864
1988-07-17,9.8,18.3,3.9,286,0.06864
1988-07-18,2,17.3,3.8,286,0.06864
1988-07-19,0.3,17.4,3.8,286,0.06864
1988-07-20,2.5,19.3,4.1,314,0.07536
1988-07-21,3.8,15.6,3.4,314,0.07536
1988-07-22,0.2,11.6,2.7,370,0.0888
1988-07-23,0,13.8,3.1,414,0.09936
1988-07-24,0,15.3,3.3,414,0.09936
1988-07-25,0,14.9,3.3,414,0.09936
1988-07-26,0.1,14.6,3.2,414,0.09936
1988-07-27,0,16.1,3.4,414,0.09936
1988-07-28,0,17.8,3.7,370,0.0888
1988-07-29,0,17.5,3.6,286,0.06864
1988-07-30,0,19.1,3.9,258,0.06192
1988-07-31,2.8,17.5,3.6,258,0.06192
1988-08-01,0,12.5,2.8,314,0.07536
1988-08-02,0,13.8,3,286,0.06864
1988-08-03,0,17.8,3.6,314,0.07536
1988-08-04,0,17.9,3.6,286,0.06864
1988-08-05,0,17.3,3.5,258,0.06192
1988-08-06,0,18.5,3.7,258,0.06192
1988-08-07,0,20.2,3.9,258,0.06192
1988-08-08,4.3,19,3.7,230,0.0552
1988-08-09,5.3,16.6,3.3,230,0.0552
1988-08-10,0.3,15.8,3.2,258,0.06192
1988-08-11,0,17.9,3.5,258,0.06192
1988-08-12,0,17.9,3.5,230,0.0552
1988-08-13,0,18.4,3.5,258,0.06192
1988-08-14,7.7,19.3,3.6,258,0.06192
1988-08-15,12.1,14.8,2.9,258,0.06192
1988-08-16,7.2,14.5,2.9,342,0.08208
1988-08-17,0,16.8,3.2,500,0.12
1988-08-18,0,16.6,3.2,370,0.0888
1988-08-19,0,15.9,3,342,0.08208
1988-08-20,0,16.4,3.1,314,0.07536
1988-08-21,0,17.4,3.2,286,0.06864
1988-08-22,0,18.4,3.3,258,0.06192
1988-08-23,16.2,17.8,3.2,286,0.06864
1988-08-24,0.4,17.9,3.2,500,0.12
1988-08-25,0.3,18.4,3.3,370,0.0888
1988-08-26,0,18.4,3.2,370,0.0888
1988-08-27,0.1,16.9,3,286,0.06864
1988-08-28,12.1,14.8,2.7,286,0.06864
1988-08-29,5.5,15.6,2.8,370,0.0888
1988-08-30,9.6,14.5,2.6,740,0.1776
1988-08-31,9.2,12.5,2.3,810,0.1944
1988-09-01,0.9,13.3,2.4,960,0.2304
1988-09-02,20.1,12.5,2.3,740,0.1776
1988-09-03,7.2,9.3,1.8,1310,0.3144
1988-09-04,0,10.4,2,1310,0.3144
1988-09-05,0,10.6,2,1070,0.2568
1988-09-06,0,11,2,885,0.2124
1988-09-07,0,14.2,2.4,665,0.1596
1988-09-08,0,16.6,2.7,545,0.1308
1988-09-09,23.9,14.8,2.4,500,0.12
1988-09-10,0.2,7.9,1.5,1310,0.3144
1988-09-11,2.9,11.8,2,1070,0.2568
1988-09-12,41.7,12.4,2.1,1070,0.2568
1988-09-13,0.3,11.6,1.9,10900,2.616
1988-09-14,12.9,10.8,1.8,4250,1.02
1988-09-15,5.8,8.8,1.6,5150,1.236
1988-09-16,12.9,8,1.5,9950,2.388
1988-09-17,0,10.2,1.7,12100,2.904
1988-09-18,0,10.1,1.7,6050,1.452
1988-09-19,0,10.5,1.7,2970,0.7128
1988-09-20,0,10.2,1.7,2430,0.5832
1988-09-21,0,11.6,1.8,1990,0.4776
1988-09-22,0,13.7,2,1990,0.4776
1988-09-23,0,15.2,2.1,1430,0.3432
1988-09-24,0,16.4,2.2,1990,0.4776
1988-09-25,1.8,17.9,2.4,1190,0.2856
1988-09-26,1.1,18.3,2.4,1190,0.2856
1988-09-27,3.1,18.7,2.4,1190,0.2856
1988-09-28,14.3,14.6,2,1430,0.3432
1988-09-29,0.3,13.6,1.9,2430,0.5832
1988-09-30,10.3,14,1.8,1430,0.3432
1988-10-01,8.4,12.2,1.7,2210,0.5304
1988-10-02,0.2,12.1,1.6,3290,0.7896
1988-10-03,1.1,12.4,1.6,2210,0.5304
1988-10-04,8.7,10.4,1.4,2970,0.7128
1988-10-05,0,8.3,1.2,2970,0.7128
1988-10-06,0,13.7,1.7,2210,0.5304
1988-10-07,0,15.5,1.8,1990,0.4776
1988-10-08,0,16.5,1.9,1550,0.372
1988-10-09,0,16,1.8,1430,0.3432
1988-10-10,0,15.3,1.7,1190,0.2856
1988-10-11,13.5,15.2,1.7,1190,0.2856
1988-10-12,5.8,7.4,1,1550,0.372
1988-10-13,7.3,8.3,1.1,1990,0.4776
1988-10-14,1.2,8.9,1.1,3610,0.8664
1988-10-15,1.7,6.4,0.9,2970,0.7128
1988-10-16,2.2,5.2,0.8,2650,0.636
1988-10-17,0.7,5,0.8,2430,0.5832
1988-10-18,4.8,9.1,1.1,2210,0.5304
1988-10-19,2.7,9.2,1.1,2430,0.5832
1988-10-20,0.9,7.4,0.9,2970,0.7128
1988-10-21,0,4.8,0.7,2970,0.7128
1988-10-22,0,8,0.9,1990,0.4776
1988-10-23,15.5,11.9,1.2,1990,0.4776
1988-10-24,3.1,9,1,3930,0.9432
1988-10-25,5.3,9.9,1.1,4250,1.02
1988-10-26,8.3,7.5,0.9,5150,1.236
1988-10-27,2.4,7.4,0.9,7950,1.908
1988-10-28,6.1,6.7,0.8,8900,2.136
1988-10-29,22.1,6.1,0.7,9400,2.256
1988-10-30,5.1,6.6,0.7,23500,5.64
1988-10-31,3.4,5.6,0.7,20500,4.92
1988-11-01,1.9,6.1,0.7,20500,4.92
1988-11-02,8.7,8.4,0.8,18700,4.488
1988-11-03,29.5,4.9,0.6,38500,9.24
1988-11-04,0.1,2.3,0.4,37000,8.88
1988-11-05,0,4.4,0.6,34000,8.16
1988-11-06,15.1,7.7,0.8,28000,6.72
1988-11-07,0,6.2,0.6,25000,6
1988-11-08,0.2,7,0.7,22000,5.28
1988-11-09,9.6,9.1,0.8,30000,7.2
1988-11-10,25.9,6.8,0.7,45000,10.8
1988-11-11,2.7,4.7,0.5,42000,10.08
1988-11-12,12.4,5.8,0.6,35000,8.4
1988-11-13,5.2,3.9,0.5,32000,7.68
1988-11-14,1.8,3.3,0.4,28000,6.72
1988-11-15,0.1,3.3,0.4,26000,6.24
1988-11-16,0,2.8,0.4,23000,5.52
1988-11-17,0,2.4,0.4,20000,4.8
1988-11-18,0.2,0.5,0.3,17000,4.08
1988-11-19,0,1,0.3,14500,3.48
1988-11-20,0,0.4,0.3,13000,3.12
1988-11-21,0.2,-2.3,0.1,11000,2.64
1988-11-22,0.5,-1.8,0.2,9500,2.28
1988-11-23,0.9,-0.2,0.2,8500,2.04
1988-11-24,0.6,-2,0.1,7000,1.68
1988-11-25,0.3,1.6,0.3,6000,1.44
1988-11-26,0.2,2.2,0.3,5500,1.32
1988-11-27,0.5,2.3,0.3,6000,1.44
1988-11-28,0.4,4.9,0.5,5200,1.248
1988-11-29,2.5,7.6,0.6,4700,1.128
1988-11-30,6.1,10.2,0.7,4500,1.08
1988-12-01,27.7,6.3,0.5,10900,2.616
1988-12-02,10.9,3.2,0.4,23000,5.52
1988-12-03,3,2.3,0.3,20000,4.8
1988-12-04,1.8,1.2,0.3,18000,4.32
1988-12-05,0.3,1,0.3,16000,3.84
1988-12-06,14.7,4.8,0.4,12000,2.88
1988-12-07,3.7,5.6,0.5,22000,5.28
1988-12-08,3.7,6.3,0.5,21000,5.04
1988-12-09,15.4,7.6,0.5,35000,8.4
1988-12-10,2.3,2.5,0.3,34000,8.16
1988-12-11,2.2,-1.2,0.2,32500,7.8
1988-12-12,0,-2.7,0.1,28000,6.72
1988-12-13,0,-2.5,0.1,22500,5.4
1988-12-14,0,-3.9,0,17000,4.08
1988-12-15,0,-4.4,0,14500,3.48
1988-12-16,0,-2,0.1,12500,3
1988-12-17,0.2,3.1,0.3,11500,2.76
1988-12-18,5.1,6.1,0.5,9800,2.352
1988-12-19,0,5.8,0.4,9700,2.328
1988-12-20,0,5.1,0.4,9400,2.256
1988-12-21,0,4.7,0.4,8000,1.92
1988-12-22,0,2.7,0.3,7000,1.68
1988-12-23,0,-0.5,0.2,6400,1.536
1988-12-24,0,-1.5,0.1,6000,1.44
1988-12-25,0,-3.4,0.1,6000,1.44
1988-12-26,0,-3.8,0,5000,1.2
1988-12-27,0,-3.8,0.1,4600,1.104
1988-12-28,0.5,-4,0,4300,1.032
1988-12-29,0,-3.9,0,3900,0.936
1988-12-30,0,-2.3,0.1,3700,0.888
1988-12-31,8,7.8,0.5,3500,0.84
1989-01-01,12.1,5.6,0.5,NA,NA
1989-01-02,0.7,3,0.4,NA,NA
1989-01-03,0.3,-0.1,0.2,NA,NA
1989-01-04,0.1,-0.9,0.2,NA,NA
1989-01-05,0.8,-1.7,0.1,NA,NA
1989-01-06,0,-0.1,0.2,NA,NA
1989-01-07,0,-2.3,0.1,NA,NA
1989-01-08,0,-1.6,0.2,NA,NA
1989-01-09,0,-1.3,0.2,NA,NA
1989-01-10,0.2,2.2,0.3,NA,NA
1989-01-11,1.6,0.4,0.3,NA,NA
1989-01-12,0.2,-2.2,0.1,NA,NA
1989-01-13,0.1,1.2,0.3,NA,NA
1989-01-14,1.9,3.7,0.4,NA,NA
1989-01-15,1.4,1.2,0.3,NA,NA
1989-01-16,1.2,-0.3,0.2,NA,NA
1989-01-17,0.1,-2,0.2,NA,NA
1989-01-18,8,0.5,0.3,NA,NA
1989-01-19,0.2,3.2,0.4,NA,NA
1989-01-20,0,3.7,0.4,NA,NA
1989-01-21,3.8,6.9,0.6,NA,NA
1989-01-22,13,7.1,0.6,NA,NA
1989-01-23,0.8,5.6,0.5,NA,NA
1989-01-24,1.8,6.6,0.6,NA,NA
1989-01-25,13.4,8.8,0.7,NA,NA
1989-01-26,2.3,8.2,0.7,NA,NA
1989-01-27,1.1,5.5,0.6,NA,NA
1989-01-28,11.5,3.7,0.5,NA,NA
1989-01-29,5.9,2.6,0.4,NA,NA
1989-01-30,3,2.2,0.4,NA,NA
1989-01-31,0,0.3,0.3,NA,NA
1989-02-01,0,-1.7,0.2,NA,NA
1989-02-02,0,-2.1,0.2,NA,NA
1989-02-03,7.4,3.3,0.5,NA,NA
1989-02-04,10.7,8.9,0.8,NA,NA
1989-02-05,9.1,10.4,0.9,NA,NA
1989-02-06,5.6,8.1,0.8,NA,NA
1989-02-07,0,8.1,0.8,NA,NA
1989-02-08,17.5,8.5,0.8,NA,NA
1989-02-09,11.7,10.2,1,NA,NA
1989-02-10,4.3,8.2,0.8,NA,NA
1989-02-11,2.1,6.1,0.7,NA,NA
1989-02-12,0.9,4.7,0.6,NA,NA
1989-02-13,1.9,3.3,0.6,NA,NA
1989-02-14,6.9,4.4,0.6,NA,NA
1989-02-15,6.1,3,0.5,NA,NA
1989-02-16,25.5,2.6,0.5,NA,NA
1989-02-17,2.8,7.3,0.9,NA,NA
1989-02-18,0.1,8,0.9,NA,NA
1989-02-19,0.2,9.9,1.1,NA,NA
1989-02-20,29,9.7,1.1,NA,NA
1989-02-21,1.6,5.4,0.8,NA,NA
1989-02-22,1.3,3.6,0.6,NA,NA
1989-02-23,0.2,6.4,0.9,NA,NA
1989-02-24,1.9,7.1,0.9,NA,NA
1989-02-25,0.4,4.4,0.7,NA,NA
1989-02-26,0,2.5,0.6,NA,NA
1989-02-27,0.4,0.7,0.5,NA,NA
1989-02-28,0,1.6,0.6,NA,NA
1989-03-01,9.7,3.7,0.7,NA,NA
1989-03-02,0,9.5,1.2,NA,NA
1989-03-03,0,9.8,1.3,NA,NA
1989-03-04,0,10.1,1.3,NA,NA
1989-03-05,0,8.3,1.2,NA,NA
1989-03-06,0,8.5,1.2,NA,NA
1989-03-07,0.1,11.4,1.5,NA,NA
1989-03-08,0,11,1.5,NA,NA
1989-03-09,0,11.5,1.5,NA,NA
1989-03-10,0.9,10.1,1.4,NA,NA
1989-03-11,6.6,6.6,1.1,NA,NA
1989-03-12,1.9,4.4,0.9,NA,NA
1989-03-13,3.5,6.5,1.1,NA,NA
1989-03-14,0.3,6.7,1.2,NA,NA
1989-03-15,0,7.4,1.2,NA,NA
1989-03-16,0,12.8,1.8,NA,NA
1989-03-17,7.9,9.4,1.5,NA,NA
1989-03-18,2.5,6.4,1.2,NA,NA
1989-03-19,6.1,5.6,1.1,NA,NA
1989-03-20,0.2,4.5,1,NA,NA
1989-03-21,12,4,1,NA,NA
1989-03-22,19.3,5.7,1.2,NA,NA
1989-03-23,5.2,6.7,1.3,NA,NA
1989-03-24,0,5.2,1.1,NA,NA
1989-03-25,0,6.8,1.3,NA,NA
1989-03-26,2.7,11.8,1.9,NA,NA
1989-03-27,8.9,9.3,1.6,NA,NA
1989-03-28,10.5,2.5,0.9,NA,NA
1989-03-29,1.4,-1.8,0.4,NA,NA
1989-03-30,0,-2,0.3,NA,NA
1989-03-31,1.9,0.7,0.7,NA,NA
1989-04-01,2.9,8,1.6,NA,NA
1989-04-02,6.6,9.1,1.7,NA,NA
1989-04-03,0.2,6.2,1.4,NA,NA
1989-04-04,5.2,4.3,1.2,NA,NA
1989-04-05,0,3.9,1.1,NA,NA
1989-04-06,0.1,6.3,1.4,NA,NA
1989-04-07,14.1,4,1.1,NA,NA
1989-04-08,1.6,-0.1,0.6,NA,NA
1989-04-09,0.3,-1.7,0.4,NA,NA
1989-04-10,1,-2.1,0.4,NA,NA
1989-04-11,7.7,-0.1,0.6,NA,NA
1989-04-12,8,2.8,1,NA,NA
1989-04-13,2,7.8,1.7,NA,NA
1989-04-14,0.3,5.5,1.4,NA,NA
1989-04-15,0,2.9,1.1,NA,NA
1989-04-16,0,3.5,1.1,NA,NA
1989-04-17,3.5,7.1,1.7,NA,NA
1989-04-18,2.6,8,1.8,NA,NA
1989-04-19,1.2,6.1,1.5,NA,NA
1989-04-20,0,5.9,1.5,NA,NA
1989-04-21,0,8.6,1.9,NA,NA
1989-04-22,0,13.2,2.6,NA,NA
1989-04-23,0.4,13.3,2.6,NA,NA
1989-04-24,1.3,10.1,2.2,NA,NA
1989-04-25,0,11.1,2.3,NA,NA
1989-04-26,0.1,14.4,2.9,NA,NA
1989-04-27,1.3,9.4,2.1,NA,NA
1989-04-28,5.6,8.9,2.1,NA,NA
1989-04-29,0.8,4.9,1.5,NA,NA
1989-04-30,0.4,6.7,1.7,NA,NA
1989-05-01,0.7,7.1,1.8,NA,NA
1989-05-02,0.4,8,2,NA,NA
1989-05-03,36.3,4.9,1.5,NA,NA
1989-05-04,14.7,3.3,1.3,NA,NA
1989-05-05,0.1,5.9,1.7,NA,NA
1989-05-06,1.7,7.1,1.9,NA,NA
1989-05-07,0.3,8.3,2.1,NA,NA
1989-05-08,5.3,6.8,1.9,NA,NA
1989-05-09,2.6,7.8,2,NA,NA
1989-05-10,3.5,9.5,2.3,NA,NA
1989-05-11,0,13.6,3,NA,NA
1989-05-12,6.3,12.3,2.8,NA,NA
1989-05-13,1.7,8.6,2.2,NA,NA
1989-05-14,0.7,8.2,2.2,NA,NA
1989-05-15,7.1,9.8,2.4,NA,NA
1989-05-16,0.2,10.2,2.5,NA,NA
1989-05-17,7.1,10.9,2.6,NA,NA
1989-05-18,3.8,11.4,2.7,NA,NA
1989-05-19,7.6,11.9,2.8,NA,NA
1989-05-20,3.4,12.9,3,NA,NA
1989-05-21,2.7,11.9,2.8,NA,NA
1989-05-22,7.3,12.4,2.9,NA,NA
1989-05-23,5.5,13.3,3.1,NA,NA
1989-05-24,2.6,14.8,3.3,NA,NA
1989-05-25,18.6,14,3.2,NA,NA
1989-05-26,47,10.9,2.7,NA,NA
1989-05-27,7.3,11.5,2.8,NA,NA
1989-05-28,0,13.3,3.1,NA,NA
1989-05-29,0,13.4,3.1,NA,NA
1989-05-30,0.1,14.1,3.2,NA,NA
1989-05-31,0,13.4,3.1,NA,NA
1989-06-01,0,12.4,3,NA,NA
1989-06-02,0,13,3.1,NA,NA
1989-06-03,0,12.4,3,NA,NA
1989-06-04,0,11.6,2.9,NA,NA
1989-06-05,2.4,13.7,3.2,NA,NA
1989-06-06,0.1,13.1,3.1,NA,NA
1989-06-07,7.2,14.5,3.4,NA,NA
1989-06-08,21.3,13,3.1,NA,NA
1989-06-09,0.5,16.9,3.8,NA,NA
1989-06-10,5.7,12.6,3.1,NA,NA
1989-06-11,0,13.7,3.2,NA,NA
1989-06-12,0,17.8,4,NA,NA
1989-06-13,5.3,14.8,3.4,NA,NA
1989-06-14,0.7,10.1,2.6,NA,NA
1989-06-15,1.4,11.3,2.8,NA,NA
1989-06-16,0,14.2,3.3,NA,NA
1989-06-17,0.4,16.7,3.8,NA,NA
1989-06-18,1.2,15.6,3.6,NA,NA
1989-06-19,1.4,15.6,3.6,NA,NA
1989-06-20,15.7,13.4,3.2,NA,NA
1989-06-21,7.2,11.8,3,NA,NA
1989-06-22,35.6,10,2.6,NA,NA
1989-06-23,8.9,11.6,2.9,NA,NA
1989-06-24,0,13.4,3.2,NA,NA
1989-06-25,6.4,14.7,3.4,NA,NA
1989-06-26,1,12.9,3.1,NA,NA
1989-06-27,0,13,3.1,NA,NA
1989-06-28,9.8,15.8,3.6,NA,NA
1989-06-29,12.6,11.9,2.9,NA,NA
1989-06-30,0,12.6,3.1,NA,NA
1989-07-01,0,14.1,3.3,NA,NA
1989-07-02,0,18.3,4,NA,NA
1989-07-03,9.5,19.7,4.3,NA,NA
1989-07-04,2.4,17.3,3.9,NA,NA
1989-07-05,0,18.6,4.1,NA,NA
1989-07-06,0.1,20.4,4.4,NA,NA
1989-07-07,2.1,21.2,4.5,NA,NA
1989-07-08,7.7,17,3.8,NA,NA
1989-07-09,1.4,16,3.6,NA,NA
1989-07-10,0,18.2,4,NA,NA
1989-07-11,1.1,20.1,4.3,NA,NA
1989-07-12,7.5,17.9,3.9,NA,NA
1989-07-13,11.6,17.2,3.8,NA,NA
1989-07-14,5.4,16.2,3.6,NA,NA
1989-07-15,0,13.3,3.1,NA,NA
1989-07-16,0,12.4,2.9,NA,NA
1989-07-17,0,13.9,3.2,NA,NA
1989-07-18,0,16.2,3.6,NA,NA
1989-07-19,0,17.1,3.7,NA,NA
1989-07-20,0.2,15.3,3.4,NA,NA
1989-07-21,0,12.6,2.9,NA,NA
1989-07-22,0,14,3.1,NA,NA
1989-07-23,0,17.1,3.7,NA,NA
1989-07-24,0.3,20,4.1,NA,NA
1989-07-25,12.9,15.3,3.3,NA,NA
1989-07-26,5.6,12.3,2.8,NA,NA
1989-07-27,2.6,12.8,2.9,NA,NA
1989-07-28,14.1,13.5,3,NA,NA
1989-07-29,21.3,12.4,2.8,NA,NA
1989-07-30,59.9,11.7,2.7,NA,NA
1989-07-31,8.3,13.6,3,NA,NA
1989-08-01,0,12.1,2.7,NA,NA
1989-08-02,0,12.8,2.8,NA,NA
1989-08-03,0,16.3,3.4,NA,NA
1989-08-04,0,18.3,3.6,NA,NA
1989-08-05,0,18.7,3.7,NA,NA
1989-08-06,0,19.2,3.8,NA,NA
1989-08-07,10.4,15.1,3.1,NA,NA
1989-08-08,0,15.6,3.2,NA,NA
1989-08-09,0.3,14.6,3,NA,NA
1989-08-10,0,14.5,3,NA,NA
1989-08-11,0,14.1,2.9,NA,NA
1989-08-12,0,14.2,2.9,NA,NA
1989-08-13,0,14.7,3,NA,NA
1989-08-14,0,16.6,3.2,NA,NA
1989-08-15,0,17.9,3.4,NA,NA
1989-08-16,23.1,19.1,3.6,NA,NA
1989-08-17,40.9,14,2.8,NA,NA
1989-08-18,7.8,14.3,2.8,NA,NA
1989-08-19,5.7,13.3,2.7,NA,NA
1989-08-20,2.1,14,2.7,NA,NA
1989-08-21,4.7,12.4,2.5,NA,NA
1989-08-22,4.8,12.1,2.4,NA,NA
1989-08-23,1.7,12,2.4,NA,NA
1989-08-24,0,14.1,2.7,NA,NA
1989-08-25,23.1,17,3,NA,NA
1989-08-26,10.5,14.2,2.6,NA,NA
1989-08-27,1.2,13.5,2.5,NA,NA
1989-08-28,1.4,12.8,2.4,NA,NA
1989-08-29,22.6,11.8,2.3,NA,NA
1989-08-30,0.5,13.4,2.5,NA,NA
1989-08-31,0,16.1,2.8,NA,NA
1989-09-01,0,15.1,2.6,NA,NA
1989-09-02,0,14.4,2.5,NA,NA
1989-09-03,0,15.6,2.7,NA,NA
1989-09-04,0,15.8,2.7,NA,NA
1989-09-05,0,14.2,2.5,NA,NA
1989-09-06,0,14.1,2.4,NA,NA
1989-09-07,0,15.8,2.6,NA,NA
1989-09-08,1.2,17.1,2.7,NA,NA
1989-09-09,0,12.6,2.2,NA,NA
1989-09-10,0,11.7,2,NA,NA
1989-09-11,0,15.2,2.4,NA,NA
1989-09-12,0,18,2.7,NA,NA
1989-09-13,0,15,2.4,NA,NA
1989-09-14,0,10.9,1.9,NA,NA
1989-09-15,0,12.6,2,NA,NA
1989-09-16,0,11.7,1.9,NA,NA
1989-09-17,0,7.1,1.4,NA,NA
1989-09-18,0,6,1.2,NA,NA
1989-09-19,0,4.8,1.1,NA,NA
1989-09-20,0,4.8,1.1,NA,NA
1989-09-21,0,5.5,1.1,NA,NA
1989-09-22,0,6.9,1.3,NA,NA
1989-09-23,0,8.2,1.4,NA,NA
1989-09-24,2.1,9.3,1.5,NA,NA
1989-09-25,1.1,12.7,1.8,NA,NA
1989-09-26,0,12.5,1.8,NA,NA
1989-09-27,0,11.8,1.7,NA,NA
1989-09-28,0.5,13.7,1.9,NA,NA
1989-09-29,1.4,12.9,1.8,NA,NA
1989-09-30,0,13.6,1.8,NA,NA
1989-10-01,4.5,12.6,1.7,NA,NA
1989-10-02,13.2,8.8,1.3,NA,NA
1989-10-03,0,8.6,1.3,NA,NA
1989-10-04,0,10.9,1.5,NA,NA
1989-10-05,0.1,14.9,1.8,NA,NA
1989-10-06,37.3,17.7,2.1,NA,NA
1989-10-07,12.1,9.1,1.3,NA,NA
1989-10-08,0,11.8,1.5,NA,NA
1989-10-09,5.9,11.2,1.4,NA,NA
1989-10-10,0,8.3,1.1,NA,NA
1989-10-11,0,6.3,1,NA,NA
1989-10-12,0,8.2,1.1,NA,NA
1989-10-13,0,8.7,1.1,NA,NA
1989-10-14,0,11,1.3,NA,NA
1989-10-15,0,10.7,1.3,NA,NA
1989-10-16,0,10.6,1.2,NA,NA
1989-10-17,0,11.1,1.3,NA,NA
1989-10-18,0,13.8,1.5,NA,NA
1989-10-19,0.4,15.7,1.6,NA,NA
1989-10-20,0.1,16.8,1.6,NA,NA
1989-10-21,5.6,18.2,1.7,NA,NA
1989-10-22,2.5,14.7,1.5,NA,NA
1989-10-23,0.8,12.5,1.3,NA,NA
1989-10-24,22.1,15,1.4,NA,NA
1989-10-25,6,11.8,1.2,NA,NA
1989-10-26,1.4,9.5,1,NA,NA
1989-10-27,0.4,10.8,1.1,NA,NA
1989-10-28,0,8.6,0.9,NA,NA
1989-10-29,0,8.1,0.9,NA,NA
1989-10-30,0,9.3,0.9,NA,NA
1989-10-31,7,11,1,NA,NA
1989-11-01,0.2,6.8,0.8,NA,NA
1989-11-02,1.2,9.7,0.9,NA,NA
1989-11-03,2.7,14.6,1.2,NA,NA
1989-11-04,2.7,11.7,1,NA,NA
1989-11-05,0,9.7,0.9,NA,NA
1989-11-06,0,9.6,0.9,NA,NA
1989-11-07,0,8.7,0.8,NA,NA
1989-11-08,0,8.4,0.8,NA,NA
1989-11-09,0,9.5,0.8,NA,NA
1989-11-10,0,9.2,0.8,NA,NA
1989-11-11,0,9.5,0.8,NA,NA
1989-11-12,4.2,11.8,0.9,NA,NA
1989-11-13,18.5,4.8,0.5,NA,NA
1989-11-14,12.2,6.9,0.6,NA,NA
1989-11-15,10.4,6.2,0.6,NA,NA
1989-11-16,6.2,3.6,0.4,NA,NA
1989-11-17,2.5,2.9,0.4,NA,NA
1989-11-18,0.1,1.1,0.3,NA,NA
1989-11-19,0,-0.4,0.2,NA,NA
1989-11-20,1.4,2.2,0.4,NA,NA
1989-11-21,2.2,4.6,0.5,NA,NA
1989-11-22,3.1,1,0.3,NA,NA
1989-11-23,0.2,1,0.3,NA,NA
1989-11-24,10.2,4.9,0.5,NA,NA
1989-11-25,2.5,0.2,0.3,NA,NA
1989-11-26,1.2,-0.2,0.2,NA,NA
1989-11-27,0.8,-2.5,0.1,NA,NA
1989-11-28,0,-3.1,0.1,NA,NA
1989-11-29,0.5,-3.8,0.1,NA,NA
1989-11-30,0,-4,0,NA,NA
1989-12-01,0,-4.7,0,NA,NA
1989-12-02,0,-4.2,0,NA,NA
1989-12-03,0,-5.1,0,NA,NA
1989-12-04,0,0.8,0.2,NA,NA
1989-12-05,7.3,5.2,0.4,NA,NA
1989-12-06,4.7,6,0.5,NA,NA
1989-12-07,12.7,9.6,0.6,NA,NA
1989-12-08,4.8,7.4,0.5,NA,NA
1989-12-09,0,4.6,0.4,NA,NA
1989-12-10,0,4.5,0.4,NA,NA
1989-12-11,0.2,9.4,0.6,NA,NA
1989-12-12,6.2,7.4,0.5,NA,NA
1989-12-13,0,4.6,0.4,NA,NA
1989-12-14,0,1.4,0.3,NA,NA
1989-12-15,0,-0.5,0.2,NA,NA
1989-12-16,0,-0.5,0.2,NA,NA
1989-12-17,0,2.3,0.3,NA,NA
1989-12-18,0,2.2,0.3,NA,NA
1989-12-19,0,0.4,0.2,NA,NA
1989-12-20,0,1.7,0.3,NA,NA
1989-12-21,3.6,6.3,0.5,NA,NA
1989-12-22,0.8,7,0.5,NA,NA
1989-12-23,3.9,9.4,0.6,NA,NA
1989-12-24,6.4,11.2,0.7,NA,NA
1989-12-25,0,5.8,0.4,NA,NA
1989-12-26,2,3.6,0.3,NA,NA
1989-12-27,7.7,5.2,0.4,NA,NA
1989-12-28,6.1,0.6,0.2,NA,NA
1989-12-29,0.3,-1.3,0.2,NA,NA
1989-12-30,3.6,1.3,0.3,NA,NA
1989-12-31,2.7,2.3,0.3,NA,NA
1990-01-01,0,2.4,0.3,8300,1.992
1990-01-02,9.3,4.7,0.4,7500,1.8
1990-01-03,3.2,3.1,0.4,11900,2.856
1990-01-04,7.3,2.7,0.3,10000,2.4
1990-01-05,0,-3.3,0.1,13800,3.312
1990-01-06,0,-3.4,0.1,12800,3.072
1990-01-07,0,-1.8,0.1,10900,2.616
1990-01-08,0,-0.5,0.2,9100,2.184
1990-01-09,0.1,-1.2,0.2,9100,2.184
1990-01-10,0.2,1.2,0.3,9100,2.184
1990-01-11,2.9,2.6,0.3,7150,1.716
1990-01-12,0.2,-0.3,0.2,7500,1.8
1990-01-13,0,0.2,0.2,6750,1.62
1990-01-14,0,-0.6,0.2,5950,1.428
1990-01-15,0,-0.8,0.2,5150,1.236
1990-01-16,3.3,0.6,0.3,5150,1.236
1990-01-17,4.6,1.5,0.3,5150,1.236
1990-01-18,0.8,-0.9,0.2,5150,1.236
1990-01-19,1.8,-1,0.2,5150,1.236
1990-01-20,1.1,0.3,0.3,4610,1.1064
1990-01-21,0,-0.7,0.2,4090,0.9816
1990-01-22,5,-1.6,0.2,3620,0.8688
1990-01-23,13.1,1,0.3,4090,0.9816
1990-01-24,14.6,7.2,0.6,11900,2.856
1990-01-25,4,3.1,0.4,20800,4.992
1990-01-26,0.8,2.5,0.4,19600,4.704
1990-01-27,0.1,2.3,0.4,16900,4.056
1990-01-28,3.3,4.1,0.5,15900,3.816
1990-01-29,7.7,1.5,0.4,12800,3.072
1990-01-30,10.3,0.1,0.3,11900,2.856
1990-01-31,3.7,0.1,0.3,10900,2.616
1990-02-01,15.3,3.1,0.5,15900,3.816
1990-02-02,3.2,3.2,0.5,27300,6.552
1990-02-03,2.7,0,0.3,24200,5.808
1990-02-04,2.2,-0.2,0.3,20800,4.992
